model,family,accuracy,balanced_accuracy,precision,recall,f1,auc_roc,auc_pr,mcc,false_alarm_rate,specificity,recall_at_1pct_fpr,training_time_sec,inference_time_per_1000_samples_sec,params,input_dim
isolation_forest_anomaly,anomaly_baseline,0.2431844402086677,0.491706335641785,0.4430217669654289,0.0057415473968056,0.0113361782990818,0.4068430305408431,0.7104488315184977,-0.072372551347315,0.0223288761132356,0.9776711238867644,0.0027795063264882,2.0354881286621094,0.0095633120181855,0,245
hist_gradient_boosting,classical_baseline,0.969859801364366,0.978755453659244,0.9987070971745764,0.9613607135449076,0.979678113493107,0.998433361456643,0.9994994726057804,0.9239553549135816,0.0038498062264199,0.99615019377358,0.9701555693839452,12.559768438339232,0.0035938168509622,0,245
random_forest,classical_baseline,0.944296749598716,0.9625627363895616,0.9994005815253858,0.9268450528935904,0.9617563495479984,0.9959045640516214,0.9987154872827136,0.8681098863744254,0.0017195801144675,0.9982804198855324,0.9555859780128604,8.840375900268555,0.0014447623543907,0,245
gradient_boosting,classical_baseline,0.9473502708667736,0.9631067551346442,0.9978952416475728,0.9322962041070316,0.963981006061074,0.9933152736615444,0.99786915449501,0.8735368535104947,0.0060826938377435,0.9939173061622564,0.9380875337066998,425.12150526046753,0.0047856122614101,0,245
extra_trees,classical_baseline,0.9142380617977528,0.9427963247332288,0.9995044552279974,0.886952914333126,0.9398711084148796,0.9918377454487042,0.99745310803,0.8096138215771673,0.0013602648666683,0.9986397351333316,0.932984857913296,10.145381927490234,0.0014314472818833,0,245
logistic_regression,classical_baseline,0.9255931480738364,0.9431187956611492,0.9920213729396848,0.9088487865588052,0.9486154712160904,0.9872644515238856,0.996000040493508,0.8250720628950736,0.0226111952365064,0.9773888047634935,0.8971416718523127,10.700267553329468,0.0006071819563547,0,245
linear_svm,classical_baseline,0.2443067817014446,0.5000041485169052,1.0,8.297033810412778e-06,1.6593929940427793e-05,0.9870686382891736,0.9959468480557988,0.001423721290936,0.0,1.0,0.8966521468574984,473.8323996067047,0.0006921759793119,0,245
dummy_majority,classical_baseline,0.2443005116372391,0.5,0.0,0.0,0.0,0.5,0.7556994883627608,0.0,0.0,1.0,0.0,0.0157413482666015,0.0,0,245
ablation_no_reconstruction,neural_ablation,0.9620911918138042,0.956950517993118,0.982557306288306,0.9670026965359884,0.9747179500045998,0.994837953023612,0.998370059936486,0.8994620287496167,0.0531016605497523,0.9468983394502476,0.9376975731176104,257.10144567489624,0.01554535088962,445697,545
ablation_no_focal_loss,neural_ablation,0.9497078150080256,0.9642410731357084,0.9974707276521986,0.9358224434764572,0.9656636743849556,0.9946550181533418,0.9983177552078334,0.878290046670591,0.0073402972050406,0.9926597027949592,0.9383862269238749,250.00388860702515,0.0183480891905856,618786,545
trident_full,neural_ablation,0.9606992375601926,0.9567850700750712,0.983234789081466,0.9644389130885708,0.9737461570036776,0.994389094844516,0.9982321047962612,0.89630928905759,0.0508687729384287,0.9491312270615712,0.9363119684712716,247.83166670799253,0.0168130528271485,980898,545
mlp_tabular_baseline,neural_ablation,0.9589122692616372,0.9513040783515716,0.9791719220355516,0.9661812901887576,0.972633231851193,0.9939695187233276,0.9980983641549244,0.8905656333895432,0.0635731334856145,0.9364268665143854,0.9341879278158058,235.76675415039065,0.0150923543934072,292097,245
ablation_no_temporal_drift,neural_ablation,0.9578212780898876,0.9530919616892456,0.9814849290029956,0.9623397635345364,0.9718180637539328,0.9938700589807988,0.998068836504062,0.8887334509537492,0.0561558401560454,0.9438441598439544,0.9352084629744868,256.0875849723816,0.0176308063691538,618017,544
edge_tiny_deployment,neural_ablation,0.958717897271268,0.9489870633574292,0.9771438621764,0.9680149346608588,0.9725579766926192,0.9937579936582728,0.9980329318228668,0.8894379005214593,0.070040807946,0.929959192054,0.9355320472930928,242.1897170543671,0.0139673765192636,55553,545
ablation_no_domain_branch,neural_ablation,0.9561597110754414,0.952183656460722,0.981623043312264,0.959958514830948,0.9706699106506146,0.9937132178272216,0.9980184801594534,0.8848109763380476,0.0555912019095038,0.9444087980904962,0.9348019083177764,252.5222659111023,0.0169513489973296,614172,539
ablation_no_keyword_rag,neural_ablation,0.9581535914927768,0.9529036770709602,0.9811107073131564,0.9631694669155776,0.9720573088935968,0.9936811456380232,0.9980101774940532,0.88939581427863,0.057362112773657,0.9426378872263428,0.935498859157851,246.722754240036,0.0172361901947812,590333,508
ablation_no_text_branch,neural_ablation,0.9545420345104334,0.9490812431983896,0.9796739360575906,0.959759386019498,0.9696144174350376,0.9931348648689264,0.9978125969798116,0.8801817366359334,0.0615968996227189,0.938403100377281,0.9319311346193736,242.3994061946869,0.0160471140070673,421922,289
text_only_baseline,neural_ablation,0.7935832162921348,0.5787421971018484,0.785973571503186,0.9988467123003526,0.8797155937492007,0.6731391777805165,0.8303405428694036,0.3468643997767515,0.8413623180966558,0.1586376819033442,0.0434100808960796,106.6031744480133,0.0155561246324695,297729,256
